"specie","longitude","latitude"
"Steindachnerina bimaculata",-55.4625,-2.170833
"Steindachnerina bimaculata",-75.495833,-1.395833
"Steindachnerina bimaculata",-77.770833,-3.645833
"Steindachnerina bimaculata",-59.946091,-3.239697
"Steindachnerina bimaculata",-54.739873,-2.413969
"Steindachnerina bimaculata",-69.951367,-4.200067
"Steindachnerina bimaculata",-54.845833,-2.179167
"Steindachnerina bimaculata",-75.504167,0.579167
"Steindachnerina bimaculata",-64.716667,-3.366667
"Steindachnerina bimaculata",-64.629167,-9.204167
"Steindachnerina bimaculata",-73.280267,-3.721248
"Steindachnerina bimaculata",-60.220833,-3.254167
"Steindachnerina bimaculata",-71.379167,-11.829167
"Steindachnerina bimaculata",-62.170833,8.695833
"Steindachnerina bimaculata",-75.5375,0.8125
"Steindachnerina bimaculata",-60.3625,-3.820833
"Steindachnerina bimaculata",-63.529167,8.154167
"Steindachnerina bimaculata",-74.304167,-5.204167
"Steindachnerina bimaculata",-69.829167,-12.695833
"Steindachnerina bimaculata",-73.504167,-4.479167
"Steindachnerina bimaculata",-73.879167,-3.4875
"Steindachnerina bimaculata",-55.2625,-2.1375
"Steindachnerina bimaculata",-75.429167,0.995833
"Steindachnerina bimaculata",-61.7858,8.6075
"Steindachnerina bimaculata",-65.9625,8.320833
"Steindachnerina bimaculata",-58.379167,-3.8875
"Steindachnerina bimaculata",-57.720833,-2.595833
"Steindachnerina bimaculata",-64.970833,0.395833
"Steindachnerina bimaculata",-55.495833,-1.8375
"Steindachnerina bimaculata",-71.410731,-2.861428
"Steindachnerina bimaculata",-72.154167,-2.9375
"Steindachnerina bimaculata",-75.928403,0.230112
"Steindachnerina bimaculata",-73.25,-4.3333
"Steindachnerina bimaculata",-62.129167,8.7125
"Steindachnerina bimaculata",-72.960108,-3.607081
"Steindachnerina bimaculata",-69.954167,-4.204167
"Steindachnerina bimaculata",-62.18,8.72
"Steindachnerina bimaculata",-67.520833,-9.454167
"Steindachnerina bimaculata",-73.570833,-4.504167
"Steindachnerina bimaculata",-63.629167,8.179167
"Steindachnerina bimaculata",-69.954167,-4.145833
"Steindachnerina bimaculata",-73.104463,-3.481106
"Steindachnerina bimaculata",-56.745,-2.17139
"Steindachnerina bimaculata",-71.8625,-3.329167
"Steindachnerina bimaculata",-65.297778,-9.508889
"Steindachnerina bimaculata",-56.184167,-3.455
"Steindachnerina bimaculata",-67.879167,-10.4625
"Steindachnerina bimaculata",-73.402298,-4.181624
"Steindachnerina bimaculata",-72.345833,-8.929167
"Steindachnerina bimaculata",-54.954167,-2.495833
"Steindachnerina bimaculata",-61.736084,0.479962
"Steindachnerina bimaculata",-74.370833,-8.529167
"Steindachnerina bimaculata",-64.6375,-9.204167
"Steindachnerina bimaculata",-63.6625,8.495833
"Steindachnerina bimaculata",-56.620833,-2.670833
"Steindachnerina bimaculata",-64.845833,-9.370833
"Steindachnerina bimaculata",-63.195833,-5.629167
"Steindachnerina bimaculata",-55.4375,-2.479167
"Steindachnerina bimaculata",-61.995833,8.679167
"Steindachnerina bimaculata",-73.2125,-3.854167
"Steindachnerina bimaculata",-62.201861,-8.837194
"Steindachnerina bimaculata",-59.604167,-3.7375
"Steindachnerina bimaculata",-63.454167,8.170833
"Steindachnerina bimaculata",-61.333332,-3.833333
"Steindachnerina bimaculata",-61.379167,-3.8875
"Steindachnerina bimaculata",-71.820833,-3.345833
"Steindachnerina bimaculata",-64.229167,8.125
"Steindachnerina bimaculata",-62.945833,-7.745833
"Steindachnerina bimaculata",-72.6875,-9.154167
"Steindachnerina bimaculata",-63.1375,-4.145833
"Steindachnerina bimaculata",-59.946606,-3.241644
"Steindachnerina bimaculata",-59.954167,-3.245833
"Steindachnerina bimaculata",-69.945833,-4.129167
"Steindachnerina bimaculata",-70.366392,-3.783645
"Steindachnerina bimaculata",-72.7875,-8.945833
"Steindachnerina bimaculata",-54.7125,-2.154167
"Steindachnerina bimaculata",-63.67722,-17.48528
"Steindachnerina bimaculata",-61.4875,-3.104167
"Steindachnerina bimaculata",-65.954167,-2.5625
"Steindachnerina bimaculata",-57.76,-2.53639
"Steindachnerina bimaculata",-69.729167,-4.229167
"Steindachnerina bimaculata",-73.279167,-3.795833
"Steindachnerina bimaculata",-76.108224,-5.884205
"Steindachnerina bimaculata",-65.304167,-13.720833
"Steindachnerina bimaculata",-58.929167,-3.395833
"Steindachnerina bimaculata",-70.2859,-4.61246
"Steindachnerina bimaculata",-70.27379,-4.42373
"Steindachnerina bimaculata",-68.6125,-9.129167
"Steindachnerina bimaculata",-56.779167,-2.6375
"Steindachnerina bimaculata",-67.5125,-10.379167
"Steindachnerina bimaculata",-70.6654,-4.14219
"Steindachnerina bimaculata",-70.5625,-3.820833
"Steindachnerina bimaculata",-54.958333,-2.375
"Steindachnerina bimaculata",-70.77947,-4.17657
"Steindachnerina bimaculata",-54.9125,-2.354167
"Steindachnerina bimaculata",-70.795833,-4.179167
"Steindachnerina bimaculata",-73.1625,-3.829167
"Steindachnerina bimaculata",-70.829167,-4.2125
"Steindachnerina bimaculata",-70.94751,-4.37676
"Steindachnerina bimaculata",-70.306938,-3.807647
"Steindachnerina bimaculata",-56.279167,-2.320833
"Steindachnerina bimaculata",-70.74041,-4.17196
"Steindachnerina bimaculata",-70.93625,-4.38461
"Steindachnerina bimaculata",-60.204167,-3.329167
"Steindachnerina bimaculata",-74.970833,-7.604167
"Steindachnerina bimaculata",-64.2125,-8.845833
"Steindachnerina bimaculata",-68.495277,-9.278611
"Steindachnerina bimaculata",-73.770833,-4.895833
"Steindachnerina bimaculata",-59.9375,-3.229167
"Steindachnerina bimaculata",-67.51111,-5.31944
"Steindachnerina bimaculata",-61.333333,-3.833333
"Steindachnerina bimaculata",-57.7625,-2.5375
